YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,183.4250458562607,36.26813406703352,51.0,r,36.11000000000003,53.0,230.0,8.0,156.0,164.3836,0.7170251792562894,167.358139534885,166.0,0.0,105.0,r,0.1834250458562607,36.26813406703352
l,183.4250458562607,36.65165916291479,52.0,l,36.71200000000001,55.0,228.0,6.0,194.0,171.184,0.7003501750875429,171.34285714285733,166.0,0.0,107.0,l,0.1834250458562607,36.65165916291479
r,200.1000500250143,36.98515924628981,52.0,r,36.84000000000003,54.0,225.0,7.0,140.0,168.0672,0.70035017508755,171.34285714285562,166.0,0.0,107.0,r,0.2001000500250143,36.98515924628981
l,200.1000500250143,37.35200933800233,53.0,l,37.413,56.0,233.0,6.0,213.0,168.5393,0.70035017508755,171.34285714285562,166.0,0.0,107.0,l,0.2001000500250143,37.35200933800233
r,216.7750541937607,37.68550942137736,53.0,r,37.55400000000003,55.0,217.0,10.0,142.0,168.5393,0.7170251792562894,167.358139534885,166.0,0.0,108.0,r,0.2167750541937607,37.68550942137736
l,200.1000500250072,38.05235951308988,54.0,l,38.12500000000001,57.0,224.0,7.0,216.0,168.7764,0.7170251792562894,167.358139534885,166.0,0.0,108.0,l,0.2001000500250072,38.05235951308988
r,200.1000500250143,38.40253460063365,54.0,r,38.266000000000034,56.0,227.0,9.0,182.0,170.9402,0.7170251792562965,167.35813953488332,166.0,0.0,108.0,r,0.2001000500250143,38.40253460063365
l,200.1000500250214,38.76938469234617,55.0,l,38.836000000000006,58.0,230.0,6.0,225.0,169.7313,0.70035017508755,171.34285714285562,166.0,0.0,111.0,l,0.2001000500250214,38.76938469234617
r,200.1000500250143,39.11955977988995,55.0,r,38.96800000000003,57.0,225.0,8.0,200.0,166.4355,0.7003501750875429,171.34285714285733,166.0,0.0,111.0,r,0.2001000500250143,39.11955977988995
l,216.7750541937607,39.46973486743372,56.0,l,39.543,59.0,225.0,7.0,250.0,169.4915,0.7170251792562894,167.358139534885,166.0,0.0,111.0,l,0.2167750541937607,39.46973486743372
r,200.1000500250072,39.81990995497749,56.0,r,39.68900000000002,58.0,231.0,8.0,208.0,169.9717,0.7170251792562965,167.35813953488332,166.0,0.0,111.0,r,0.2001000500250072,39.81990995497749
l,200.1000500250214,40.18676004669001,57.0,l,40.251,60.0,222.0,7.0,283.0,170.2128,0.7170251792562965,167.35813953488332,166.0,0.0,111.0,l,0.2001000500250214,40.18676004669001
r,200.1000500250143,40.53693513423379,57.0,r,40.39500000000002,59.0,228.0,9.0,206.0,169.9717,0.7003501750875429,171.34285714285733,166.0,0.0,113.0,r,0.2001000500250143,40.53693513423379
l,183.4250458562607,40.90378522594631,58.0,l,40.956,61.0,228.0,6.0,283.0,166.8985,0.7003501750875429,171.34285714285733,166.0,0.0,113.0,l,0.1834250458562607,40.90378522594631
